,hit_id,x,y,z,volume_id,layer_id,module_id
0,1,-88.2131,0.405129,-1502.5,7,2,1
1,2,-58.816,3.27043,-1502.5,7,2,1
2,3,-73.3092,-1.13026,-1502.5,7,2,1
3,4,-60.1074,-7.56429,-1502.5,7,2,1
4,5,-61.1641,-12.0611,-1502.5,7,2,1
5,6,-98.2167,-1.53572,-1502.5,7,2,1
6,7,-69.0965,-8.7733,-1502.5,7,2,1
7,8,-76.4488,1.48146,-1502.5,7,2,1
8,9,-84.7168,-11.758,-1502.5,7,2,1
9,10,-58.151,-8.76449,-1502.5,7,2,1
10,11,-78.6395,-5.8129,-1502.5,7,2,1
11,12,-82.1402,-3.63084,-1502.5,7,2,1
12,13,-64.9526,0.229584,-1502.5,7,2,1
13,14,-76.4268,-7.24371,-1502.5,7,2,1
14,15,-79.2048,-10.1205,-1502.5,7,2,1
15,16,-80.3667,-2.88941,-1502.5,7,2,1
16,17,-86.0021,-8.95023,-1502.5,7,2,1
17,18,-60.6867,-6.65694,-1502.5,7,2,1
18,19,-72.7969,-6.20571,-1502.5,7,2,1
19,20,-70.2439,2.22057,-1502.5,7,2,1
20,21,-93.5489,-14.9609,-1502.5,7,2,1
21,22,-69.6552,-12.4284,-1502.5,7,2,1
22,23,-75.4962,-1.30238,-1502.5,7,2,1
23,24,-108.503,-9.44613,-1502.0,7,2,2
24,25,-158.74,-0.439766,-1502.0,7,2,2
25,26,-161.535,0.892543,-1502.0,7,2,2
26,27,-131.425,-5.40043,-1502.0,7,2,2
27,28,-129.565,-6.66586,-1502.0,7,2,2
28,29,-123.073,-3.36252,-1502.0,7,2,2
29,30,-175.463,-1.68027,-1502.0,7,2,2
30,31,-142.032,0.165655,-1502.0,7,2,2
31,32,-122.103,-6.07062,-1502.0,7,2,2
32,33,-128.681,-3.19206,-1502.0,7,2,2
33,34,-152.443,-19.8766,-1498.0,7,2,3
34,35,-158.926,-28.5554,-1498.0,7,2,3
35,36,-119.467,-20.3192,-1498.0,7,2,3
36,37,-108.209,-9.41502,-1498.0,7,2,3
37,38,-136.178,-21.4444,-1498.0,7,2,3
38,39,-161.362,-24.9575,-1498.0,7,2,3
39,40,-165.325,-28.3934,-1498.0,7,2,3
40,41,-141.826,-20.7179,-1498.0,7,2,3
41,42,-56.6579,-13.8338,-1498.0,7,2,4
42,43,-81.9545,-27.98,-1498.0,7,2,4
43,44,-71.6839,-18.0582,-1498.0,7,2,4
44,45,-68.3649,-18.8554,-1498.0,7,2,4
45,46,-84.4703,-11.718,-1498.0,7,2,4
46,47,-89.6681,-21.656,-1498.0,7,2,4
47,48,-63.65,-18.4434,-1498.0,7,2,4
48,49,-60.9661,-12.0399,-1498.0,7,2,4
49,50,-71.7643,-15.9693,-1498.0,7,2,4
50,51,-96.4327,-24.3598,-1498.0,7,2,4
51,52,-60.5023,-6.6695,-1498.0,7,2,4
52,53,-57.9929,-8.75508,-1498.0,7,2,4
53,54,-92.2484,-20.5231,-1498.0,7,2,4
54,55,-88.2901,-26.0732,-1498.0,7,2,4
55,56,-69.4447,-12.3786,-1498.0,7,2,4
56,57,-59.9096,-7.51834,-1498.0,7,2,4
57,58,-54.1233,-18.3673,-1498.0,7,2,4
58,59,-93.3047,-14.9188,-1498.0,7,2,4
59,60,-68.8593,-8.79284,-1498.0,7,2,4
60,61,-60.8022,-18.0168,-1498.0,7,2,4
61,62,-157.119,-31.5351,-1502.0,7,2,5
62,63,-142.263,-38.9302,-1502.0,7,2,5
63,64,-160.185,-41.245,-1502.0,7,2,5
64,65,-127.623,-26.4981,-1502.0,7,2,5
65,66,-135.214,-39.1727,-1502.0,7,2,5
66,67,-108.852,-33.3322,-1502.0,7,2,5
67,68,-103.53,-26.2249,-1502.0,7,2,5
68,69,-117.727,-30.2318,-1502.0,7,2,5
69,70,-111.111,-25.4397,-1502.0,7,2,5
70,71,-119.76,-20.3856,-1502.0,7,2,5
71,72,-114.676,-26.689,-1502.0,7,2,5
72,73,-102.218,-29.1009,-1502.0,7,2,5
73,74,-79.9987,-30.9988,-1502.0,7,2,6
74,75,-65.5281,-30.3627,-1502.0,7,2,6
75,76,-73.684,-32.2798,-1502.0,7,2,6
76,77,-88.2223,-40.8454,-1502.0,7,2,6
77,78,-52.9392,-30.1814,-1502.0,7,2,6
78,79,-60.958,-18.0247,-1502.0,7,2,6
79,80,-52.443,-24.618,-1502.0,7,2,6
80,81,-61.6239,-23.7666,-1502.0,7,2,6
81,82,-63.8243,-18.4543,-1502.0,7,2,6
82,83,-62.9836,-27.8334,-1502.0,7,2,6
83,84,-82.1882,-28.0091,-1502.0,7,2,6
84,85,-141.886,-38.8807,-1498.0,7,2,7
85,86,-99.7267,-38.8302,-1498.0,7,2,7
86,87,-113.466,-43.8572,-1498.0,7,2,7
87,88,-108.59,-33.2581,-1498.0,7,2,7
88,89,-151.345,-50.281,-1498.0,7,2,7
89,90,-101.961,-28.9795,-1498.0,7,2,7
90,91,-167.577,-53.3977,-1498.0,7,2,7
91,92,-157.233,-53.0946,-1498.0,7,2,7
92,93,-102.895,-39.9976,-1498.0,7,2,7
93,94,-103.266,-26.1474,-1498.0,7,2,7
94,95,-121.968,-46.812,-1498.0,7,2,7
95,96,-113.301,-56.2307,-1502.0,7,2,8
96,97,-100.046,-38.9003,-1502.0,7,2,8
97,98,-119.359,-50.0513,-1502.0,7,2,8
98,99,-112.537,-52.6686,-1502.0,7,2,8
99,100,-142.633,-59.2893,-1502.0,7,2,8
100,101,-99.8426,-44.932,-1502.0,7,2,8
101,102,-97.8482,-47.3855,-1502.0,7,2,8
102,103,-113.749,-44.0216,-1502.0,7,2,8
103,104,-122.233,-47.0023,-1502.0,7,2,8
104,105,-96.2148,-48.4133,-1502.0,7,2,8
105,106,-109.533,-52.4356,-1502.0,7,2,8
106,107,-155.987,-73.3297,-1502.0,7,2,8
107,108,-103.182,-40.0661,-1502.0,7,2,8
108,109,-70.875,-40.0017,-1497.5,7,2,9
109,110,-42.2342,-35.7036,-1497.5,7,2,9
110,111,-65.2372,-47.6301,-1497.5,7,2,9
111,112,-65.3482,-30.2816,-1497.5,7,2,9
112,113,-57.998,-39.5582,-1497.5,7,2,9
113,114,-52.7696,-30.1382,-1497.5,7,2,9
114,115,-52.2693,-24.4952,-1497.5,7,2,9
115,116,-65.5853,-47.5502,-1497.5,7,2,9
116,117,-69.6891,-41.1515,-1497.5,7,2,9
117,118,-49.9212,-33.4945,-1497.5,7,2,9
118,119,-54.286,-36.8143,-1497.5,7,2,9
119,120,-59.64,-33.8793,-1497.5,7,2,9
120,121,-111.971,-68.6918,-1498.0,7,2,10
121,122,-105.221,-56.359,-1498.0,7,2,10
122,123,-145.704,-73.6876,-1498.0,7,2,10
123,124,-109.254,-52.2975,-1498.0,7,2,10
124,125,-140.551,-75.9682,-1498.0,7,2,10
125,126,-112.994,-56.0979,-1498.0,7,2,10
126,127,-108.837,-67.5183,-1498.0,7,2,10
127,128,-140.088,-78.9155,-1498.0,7,2,10
128,129,-97.5512,-47.3246,-1498.0,7,2,10
129,130,-130.484,-63.2943,-1498.0,7,2,10
130,131,-105.099,-56.222,-1498.0,7,2,10
131,132,-95.9696,-48.2751,-1498.0,7,2,10
132,133,-104.531,-74.5446,-1502.0,7,2,11
133,134,-115.1,-76.2693,-1502.0,7,2,11
134,135,-131.192,-84.6993,-1502.0,7,2,11
135,136,-107.113,-77.9502,-1502.0,7,2,11
136,137,-120.833,-81.8335,-1502.0,7,2,11
137,138,-114.571,-76.0887,-1502.0,7,2,11
138,139,-83.6073,-65.1814,-1502.0,7,2,11
139,140,-112.26,-68.8693,-1502.0,7,2,11
140,141,-139.095,-93.4947,-1502.0,7,2,11
141,142,-109.16,-67.655,-1502.0,7,2,11
142,143,-48.4192,-40.9923,-1502.5,7,2,12
143,144,-48.3405,-50.5252,-1502.5,7,2,12
144,145,-60.6907,-55.2211,-1502.5,7,2,12
145,146,-54.5006,-49.7219,-1502.5,7,2,12
146,147,-65.8214,-47.7016,-1502.5,7,2,12
147,148,-53.1796,-42.9539,-1502.5,7,2,12
148,149,-48.579,-51.9782,-1502.5,7,2,12
149,150,-38.7444,-43.0526,-1502.5,7,2,12
150,151,-53.0762,-46.1533,-1502.5,7,2,12
151,152,-42.9852,-39.6389,-1502.5,7,2,12
152,153,-50.1107,-33.6258,-1502.5,7,2,12
153,154,-60.8896,-53.6814,-1502.5,7,2,12
154,155,-67.4123,-64.0523,-1502.5,7,2,12
155,156,-44.011,-48.4055,-1502.5,7,2,12
156,157,-64.7597,-50.4113,-1502.5,7,2,12
157,158,-58.1646,-39.7155,-1502.5,7,2,12
158,159,-70.4843,-56.7472,-1502.5,7,2,12
159,160,-63.1719,-51.1593,-1502.5,7,2,12
160,161,-48.5388,-40.7656,-1502.5,7,2,12
161,162,-42.3455,-35.8048,-1502.5,7,2,12
162,163,-54.4624,-36.948,-1502.5,7,2,12
